"Kod";"Nazwa";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2020";420;"szt.";"";
0201000;"Powiat bolesławiecki";"ogółem";"ogółem";"2021";;"szt.";"n";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2020";105;"szt.";"";
0201000;"Powiat bolesławiecki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0201000;"Powiat bolesławiecki";"rynek wtórny";"ogółem";"2020";315;"szt.";"";
0201000;"Powiat bolesławiecki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0202000;"Powiat dzierżoniowski";"ogółem";"ogółem";"2020";549;"szt.";"";
0202000;"Powiat dzierżoniowski";"ogółem";"ogółem";"2021";;"szt.";"n";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2020";14;"szt.";"";
0202000;"Powiat dzierżoniowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0202000;"Powiat dzierżoniowski";"rynek wtórny";"ogółem";"2020";535;"szt.";"";
0202000;"Powiat dzierżoniowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0203000;"Powiat głogowski";"ogółem";"ogółem";"2020";486;"szt.";"";
0203000;"Powiat głogowski";"ogółem";"ogółem";"2021";;"szt.";"n";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2020";25;"szt.";"";
0203000;"Powiat głogowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0203000;"Powiat głogowski";"rynek wtórny";"ogółem";"2020";461;"szt.";"";
0203000;"Powiat głogowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0204000;"Powiat górowski";"ogółem";"ogółem";"2020";77;"szt.";"";
0204000;"Powiat górowski";"ogółem";"ogółem";"2021";;"szt.";"n";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2020";3;"szt.";"";
0204000;"Powiat górowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0204000;"Powiat górowski";"rynek wtórny";"ogółem";"2020";74;"szt.";"";
0204000;"Powiat górowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0205000;"Powiat jaworski";"ogółem";"ogółem";"2020";159;"szt.";"";
0205000;"Powiat jaworski";"ogółem";"ogółem";"2021";;"szt.";"n";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2020";7;"szt.";"";
0205000;"Powiat jaworski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0205000;"Powiat jaworski";"rynek wtórny";"ogółem";"2020";152;"szt.";"";
0205000;"Powiat jaworski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0206000;"Powiat karkonoski";"ogółem";"ogółem";"2020";430;"szt.";"";
0206000;"Powiat karkonoski";"ogółem";"ogółem";"2021";;"szt.";"n";
0206000;"Powiat karkonoski";"rynek pierwotny";"ogółem";"2020";74;"szt.";"";
0206000;"Powiat karkonoski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0206000;"Powiat karkonoski";"rynek wtórny";"ogółem";"2020";356;"szt.";"";
0206000;"Powiat karkonoski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0207000;"Powiat kamiennogórski";"ogółem";"ogółem";"2020";145;"szt.";"";
0207000;"Powiat kamiennogórski";"ogółem";"ogółem";"2021";;"szt.";"n";
0207000;"Powiat kamiennogórski";"rynek pierwotny";"ogółem";"2020";0;"szt.";"";
0207000;"Powiat kamiennogórski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0207000;"Powiat kamiennogórski";"rynek wtórny";"ogółem";"2020";145;"szt.";"";
0207000;"Powiat kamiennogórski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0208000;"Powiat kłodzki";"ogółem";"ogółem";"2020";814;"szt.";"";
0208000;"Powiat kłodzki";"ogółem";"ogółem";"2021";;"szt.";"n";
0208000;"Powiat kłodzki";"rynek pierwotny";"ogółem";"2020";90;"szt.";"";
0208000;"Powiat kłodzki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0208000;"Powiat kłodzki";"rynek wtórny";"ogółem";"2020";724;"szt.";"";
0208000;"Powiat kłodzki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0209000;"Powiat legnicki";"ogółem";"ogółem";"2020";111;"szt.";"";
0209000;"Powiat legnicki";"ogółem";"ogółem";"2021";;"szt.";"n";
0209000;"Powiat legnicki";"rynek pierwotny";"ogółem";"2020";5;"szt.";"";
0209000;"Powiat legnicki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0209000;"Powiat legnicki";"rynek wtórny";"ogółem";"2020";106;"szt.";"";
0209000;"Powiat legnicki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0210000;"Powiat lubański";"ogółem";"ogółem";"2020";240;"szt.";"";
0210000;"Powiat lubański";"ogółem";"ogółem";"2021";;"szt.";"n";
0210000;"Powiat lubański";"rynek pierwotny";"ogółem";"2020";0;"szt.";"x";
0210000;"Powiat lubański";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0210000;"Powiat lubański";"rynek wtórny";"ogółem";"2020";239;"szt.";"";
0210000;"Powiat lubański";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0211000;"Powiat lubiński";"ogółem";"ogółem";"2020";810;"szt.";"";
0211000;"Powiat lubiński";"ogółem";"ogółem";"2021";;"szt.";"n";
0211000;"Powiat lubiński";"rynek pierwotny";"ogółem";"2020";215;"szt.";"";
